
[br01 BR New London 3.600000]
<跳跃>
BR Manchester: 3G (2.1, 1.4) (79978, -52343) jumpgate 
IW12_nav_buoy_01: 3E (3.0, 1.7) (6613, -20093) nav_buoy 
IW12_nav_buoy_03: 3E (2.9, 2.3) (12789, -20737) nav_buoy 
IW12_nav_buoy_05: 3E (2.9, 2.9) (18965, -21381) nav_buoy 
IW12_nav_buoy_07: 3F (2.8, 1.5) (25141, -22025) nav_buoy 
IW12_nav_buoy_09: 3F (2.7, 2.1) (31317, -22669) nav_buoy 
IW12_nav_buoy_11: 5D (2.7, 2.9) (-566, 17289) nav_buoy 
IW12_nav_buoy_13: 5E (3.0, 1.6) (5556, 19609) nav_buoy 
IW12_nav_buoy_15: 6E (1.2, 2.2) (11678, 21929) nav_buoy 
IW12_nav_buoy_16: 6E (1.3, 2.5) (14739, 23089) nav_buoy 
IW12_nav_buoy_17: 6E (1.4, 2.8) (17800, 24249) nav_buoy 
IW12_nav_buoy_18: 6F (1.5, 1.1) (20861, 25409) nav_buoy 
IW12_nav_buoy_19: 6F (1.7, 1.4) (23922, 26569) nav_buoy 
IW12_nav_buoy_14: 6E (1.1, 1.9) (8617, 20769) nav_buoy 
IW12_nav_buoy_12: 5E (2.8, 1.2) (2495, 18449) nav_buoy 
IW12_nav_buoy_10: 3F (2.7, 2.4) (34405, -22991) nav_buoy 
IW12_nav_buoy_08: 3F (2.8, 1.8) (28229, -22347) nav_buoy 
IW12_nav_buoy_06: 3F (2.8, 1.2) (22053, -21703) nav_buoy 
IW12_nav_buoy_04: 3E (2.9, 2.6) (15877, -21059) nav_buoy 
IW12_nav_buoy_02: 3E (3.0, 2.0) (9701, -20415) nav_buoy 

[iw13 IW Cassini (Liberty Rogues) 2.000000]
<跳跃>
LI Colorado: 6F (1.3, 2.0) (30000, 23000) jumphole_light 
IW Kepler: 2G (2.5, 1.5) (44753, -44965) jumphole 
LI Alberta: 5C (1.8, 1.5) (-35000, 8000) jumphole_light 
<基地>
IW13_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
IW13_anomaly1: 3D (2.5, 1.8) (-12000, -25000) blhazard_selectable 
IW13_planet_1: 6E (1.8, 1.5) (5000, 28000) planet_crater_2000 
IW13_01: 5F (1.5, 2.3) (33153, 5235) miningbase_ice_block 
IW13_02: 5D (2.3, 2.6) (-4440, 13367) co_base_rock_large02 
IW13_03: 4F (1.5, 1.4) (23678, -15356) miningbase_FragC 
IW13_space_arch_chunk3a_01: 4F (1.4, 1.4) (23879, -15756) space_arch_chunk3a 
IW13_space_arch_chunk3c_01: 4F (1.4, 1.3) (23420, -15650) space_arch_chunk3c 
IW13_space_arch_chunk3d_01: 4F (1.5, 1.4) (23851, -14664) space_arch_chunk3d 
IW13_space_arch_chunk3e_01: 4F (1.5, 1.3) (23459, -15055) space_arch_chunk3e 
IW13_space_industrial_01: 4F (1.4, 1.4) (23904, -15834) space_industrial 
IW13_shipyard_01: 4F (1.4, 1.4) (23904, -15831) shipyard 
BW21_03: 6C (2.4, 1.4) (-35500, 33500) miningbase_mineableB 
IW13_suprise_li_fighter_01: 6F (1.6, 1.2) (22341, 26473) suprise_li_fighter 
IW13_suprise_ge_train_1: 6E (2.2, 1.6) (6234, 32444) suprise_transport 
IW13_suprise_ge_fighter5_1: 6E (2.2, 1.4) (3959, 31989) suprise_ge_fighter5 
IW13_suprise_ge_fighter5_2: 6E (2.1, 1.6) (5779, 30851) suprise_ge_fighter5 

[ku01 KU New Tokyo 3.600000]
<跳跃>
KU Shikoku: 7E (2.4, 1.6) (10469, 97369) jumpgate 
KU Kyushu: 5B (1.2, 2.1) (-88571, 3278) jumpgate 
KU Honshu: 4G (2.9, 2.2) (94486, -1023) jumpgate 
KU Hokkaido: 2D (1.5, 2.6) (-7817, -99136) jumpgate 
KU Kyushu: 6C (1.2, 2.7) (-42214, 39073) jumphole 
KU Honshu: 4G (2.6, 1.1) (74039, -6810) jumphole 
KU Hiroshima (KU Navy): 3F (2.2, 2.4) (60520, -50405) jumpgate 
<基地>
Ku01_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
Ku01_01: 6D (1.9, 2.5) (-8596, 51613) planet_watdrkcld_4000 
Ku01_Kitadake_planet: 3D (2.1, 2.8) (-4336, -51808) planet_gasblucld_3000 
Ku01_Fuji_planet: 6F (1.3, 2.1) (56342, 42043) planet_gasgrncld_5000 
Ku01_planet_storm_5000_1: 6F (1.3, 2.1) (56342, 42043) planet_storm_5000 
Ku01_planet_icemoon_800_1: 5F (2.9, 1.7) (48406, 34691) planet_icemoon_800 
Ku01_dock_ring_1: 6D (1.8, 2.7) (-4755, 49962) dock_ring 
Ku01_docking_fixture_1: 6D (1.8, 2.7) (-4708, 49946) docking_fixture 
Ku01_02: 4E (2.3, 2.7) (30915, -13162) space_shipping01 
Ku01_space_habitat_wide_5: 4E (2.3, 2.7) (31246, -13353) space_habitat_wide 
Ku01_space_habitat_wide_6: 4E (2.3, 2.7) (30962, -13189) space_habitat_wide 
Ku01_space_habitat_tall_6: 4E (2.3, 2.7) (30679, -13025) space_habitat_tall 
Ku01_space_habitat_tall_7: 4E (2.3, 2.7) (30395, -12861) space_habitat_tall 
Ku01_space_habitat_tall_8: 4E (2.3, 2.7) (31246, -13353) space_habitat_tall 
Ku01_space_habitat_tall_9: 4E (2.3, 2.7) (30962, -13189) space_habitat_tall 
Ku01_depot_high_temp_alloys_1: 4E (2.3, 2.8) (32613, -13302) depot_high_temp_alloys 
Ku01_depot_copper_1: 4E (2.3, 2.8) (32741, -13427) depot_copper 
Ku01_depot_optronics_1: 4E (2.3, 2.8) (32864, -13302) depot_optronics 
Ku01_03: 3E (2.2, 1.1) (916, -50402) space_factory01 
Ku01_Yokohama_1: 3E (2.2, 1.1) (1410, -50838) shipyard 
Ku01_Yokohama_2: 3E (2.2, 1.1) (1408, -49964) shipyard 
Ku01_Yokohama_3: 3E (2.2, 1.1) (1410, -50838) shipyard 
Ku01_Yokohama_4: 3E (2.2, 1.1) (1408, -49964) shipyard 
Ku01_Yokohama_tanks: 3E (2.2, 1.1) (1547, -50402) space_tanks4x4 
Ku01_large_transport_1: 3E (2.2, 1.1) (1425, -50585) large_transport 
Ku01_large_transport_2: 3E (2.2, 1.1) (1375, -50879) large_transport 
Ku01_large_transport_3: 3E (2.2, 1.1) (1449, -50629) large_transport 
Ku01_large_transport_4: 3E (2.2, 1.1) (1373, -50050) large_transport 
Ku01_large_transport_5: 3E (2.2, 1.1) (1439, -49763) large_transport 
Ku01_large_transport_6: 3E (2.2, 1.1) (1454, -50879) large_transport 
Ku01_large_transport_7: 3E (2.2, 1.1) (1375, -50879) large_transport 
Ku01_depot_toxic_waste_1: 3E (2.2, 1.1) (900, -50715) depot_toxic_waste 
Ku01_depot_scrap_metal_1: 3E (2.2, 1.1) (901, -50588) depot_scrap_metal 
Ku01_depot_scrap_metal_2: 3E (2.2, 1.1) (902, -50463) depot_scrap_metal 
Ku01_depot_basic_alloys_1: 3E (2.2, 1.1) (902, -50337) depot_basic_alloys 
Ku01_04: 6D (1.8, 2.9) (-2362, 50736) largestation1 
Ku01_05: 5F (2.8, 1.7) (48280, 31769) largestation1_old 
Ku01_shinagawa_mplatform: 5F (2.8, 1.7) (48657, 32326) mplatform 
Ku01_05_industrial_01: 5F (2.8, 1.7) (47884, 32329) space_industrial02 
Ku01_05_industrial_02: 5F (2.8, 1.7) (48426, 32329) space_industrial02 
Ku01_05_moor_01: 5F (2.8, 1.7) (48426, 32709) dsy_fightermoor 
Ku01_06: 5C (1.1, 2.4) (-46047, 2378) smallstation1 
Ku01_space_habitat_tall_1: 5C (1.1, 2.4) (-46046, 2377) space_habitat_tall 
Ku01_space_habitat_wide_1: 5C (1.1, 2.4) (-46164, 2506) space_habitat_wide 
Ku01_space_habitat_tall_2: 5C (1.1, 2.4) (-46164, 2506) space_habitat_tall 
Ku01_space_habitat_wide_2: 5C (1.1, 2.4) (-45923, 2493) space_habitat_wide 
Ku01_space_habitat_tall_3: 5C (1.1, 2.4) (-45923, 2493) space_habitat_tall 
Ku01_space_habitat_wide_3: 5C (1.1, 2.4) (-45925, 2253) space_habitat_wide 
Ku01_space_habitat_tall_4: 5C (1.1, 2.4) (-45924, 2253) space_habitat_tall 
Ku01_space_habitat_tall_10: 5C (1.1, 2.4) (-46162, 2269) space_habitat_tall 
Ku01_07: 5C (2.5, 2.3) (-47778, 27164) depot 
KU08_03: 6F (1.0, 1.8) (50027, 36138) luxury_liner 

[ku02 KU Shikoku 3.600000]
<跳跃>
KU New Tokyo: 2E (2.1, 1.3) (5077, -88295) jumpgate 
IW Kepler: 7D (1.4, 1.9) (-19097, 79487) jumpgate 
IW Galileo: 7F (1.4, 2.0) (53822, 79780) jumpgate 
IW Galileo: 7E (1.1, 1.8) (13873, 74509) jumphole_light 
KU Kyushu: 3D (1.9, 1.6) (-24454, -56394) jumphole_light 
<基地>
Ku02_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
Ku02_Seto: 4F (1.3, 1.3) (40977, -30835) planet_gasorgcld_5000 
Ku02_04: 4F (2.0, 1.1) (37556, -17476) planet_watblucld_1500 
Ku02_planet_3: 5F (2.9, 2.5) (62965, 34500) planet_crater_400 
Ku02_01: 6F (1.1, 2.6) (64526, 37620) prison 
Ku02_mplatform_1: 6F (1.1, 2.5) (63897, 37850) mplatform 
Ku02_space_tankl4x4_1: 6F (1.1, 2.5) (63640, 37619) space_tankl4x4 
Ku02_space_tankl4x4_2: 6F (1.1, 2.5) (63701, 37087) space_tankl4x4 
Ku02_space_industrial_2: 6F (1.1, 2.5) (63895, 37620) space_industrial 
Ku02_space_industrial_3: 6F (1.1, 2.5) (63896, 37088) space_industrial 
Ku02_02: 6F (1.0, 1.1) (37422, 36795) k_battleship 
Ku02_03: 6E (1.1, 2.5) (27655, 37830) largestation1 
Ku02_space_dome_2: 6E (1.1, 2.5) (26786, 37831) space_dome 
Ku02_space_dome_3: 6E (1.1, 2.5) (27216, 37830) space_dome 
Ku02_space_dome_4: 6E (1.1, 2.5) (27640, 38197) space_dome 
Ku02_space_dome_5: 6E (1.1, 2.5) (27639, 37459) space_dome 
Ku02_space_industrial_1: 6E (1.1, 2.5) (27642, 37830) space_industrial 
Ku02_depot_food_1: 6E (1.1, 2.5) (26744, 37310) depot_food 
Ku02_depot_consumer_goods_1: 6E (1.1, 2.5) (26742, 37061) depot_consumer_goods 
Ku02_04_dock_ring_1: 4F (2.1, 1.0) (36278, -16442) dock_ring 
Ku02_04_docking_fixture_1: 4F (2.1, 1.0) (36254, -16416) docking_fixture 
Ku02_05: 2E (2.2, 1.3) (4691, -86900) space_police01 
Ku02_05_spacetanks44: 2E (2.2, 1.3) (4691, -86900) space_tanks4x4 
EW45_01: 7E (1.4, 2.1) (20466, 79541) depot 
KU09_03: 5E (2.0, 1.4) (7000, 18000) dsy_static_IND_liner 
Ku02_suprise_ge_csv_1: 5C (2.0, 1.7) (-59193, 17956) suprise_ge_csv 
Ku02_suprise_ge_fighter4_2: 6D (2.5, 1.2) (-31802, 62851) suprise_ge_fighter4 

[ku03 KU Kyushu 3.600000]
<跳跃>
BW Tau-29: 5B (2.0, 1.8) (-93117, 18765) jumpgate 
KU New Tokyo: 3G (2.7, 1.7) (83793, -40759) jumpgate 
BW Tau-23: 4C (1.4, 1.1) (-69307, -28435) jumphole_light 
KU New Tokyo: 4G (1.8, 1.5) (80560, -21804) jumphole_light 
KU Shikoku: 4G (2.8, 1.4) (78936, -3074) jumphole_light 
KU Hokkaido: 2E (2.6, 2.4) (24405, -78369) jumphole_light 
KU Tottori (Hogosha): 2C (2.9, 2.8) (-40000, -73000) jumphole_light 
<基地>
Ku03_Sun1: 6E (2.4, 2.1) (20000, 62000) sun_1000 
Ku03_sun2: 5E (1.0, 1.0) (0, 0) sun_2000 
Ku03_Aso: 3C (2.4, 2.9) (-37315, -46516) planet_gaspurcld_5000 
Ku03_01: 3E (2.6, 2.9) (34256, -43455) planet_watblusmlcld_2000 
Ku03_dock_ring_1: 3E (2.7, 2.9) (34289, -41269) dock_ring 
Ku03_docking_fixture_1: 3E (2.7, 2.9) (34288, -41217) docking_fixture 
Ku03_02: 3D (2.8, 1.4) (-28893, -40238) space_factory01 
Ku03_mplatform_1: 3D (2.7, 1.4) (-28673, -40938) mplatform 
Ku03_03: 3E (2.6, 2.7) (30810, -42843) k_battleship 
Ku03_04: 4C (2.9, 2.9) (-37176, -1689) space_police01 
Ku03_space_research_1: 4C (2.8, 2.9) (-37178, -3492) space_research 
Ku03_space_research_2: 4C (2.9, 2.9) (-37178, -1440) space_research 
Ku03_space_industrial_1: 4C (2.9, 3.0) (-36648, -1690) space_industrial 
Ku03_space_industrial_2: 4C (2.9, 3.0) (-36648, -1440) space_industrial 
Ku03_space_solar_plant_1: 4C (2.8, 3.0) (-36646, -3283) space_solar_plant 
Ku03_space_solar_plant_2: 4C (2.9, 3.0) (-36641, -2379) space_solar_plant 
Ku03_space_solar_plant_3: 4C (2.9, 3.0) (-36646, -929) space_solar_plant 
Ku03_space_solar_plant_4: 4C (3.0, 3.0) (-36658, -86) space_solar_plant 
Ku03_05: 4G (2.3, 1.1) (73859, -13463) depot 
Br04_08: 5B (1.8, 1.8) (-94152, 14647) k_battleship 
Ku03_space_industrial_1: 4G (2.3, 1.1) (73859, -13461) space_tanks4 
Ku03_Tottori_navbuoy1: 3E (2.9, 2.8) (32968, -36950) nav_buoy 
Ku03_Tottori_navbuoy2: 4E (1.2, 2.8) (31687, -33100) nav_buoy 
Ku03_Tottori_navbuoy3: 4E (1.4, 2.7) (30406, -29250) nav_buoy 
Ku03_Tottori_navbuoy4: 4E (1.6, 2.6) (29125, -25400) nav_buoy 
Ku03_Tottori_navbuoy5: 4E (1.8, 2.5) (27843, -21550) nav_buoy 
Ku03_Tottori_navbuoy6: 4E (2.0, 2.5) (26562, -17700) nav_buoy 
Ku03_Tottori_navbuoy7: 4E (2.2, 2.4) (25281, -13850) nav_buoy 
Ku03_surprise_bw_fighter_1: 4B (1.9, 2.6) (-79504, -19443) suprise_bw_fighter 
Ku03_suprise_ge_fighter4_1: 2D (2.8, 2.4) (-11213, -75383) suprise_ge_fighter4 

[ku04 KU Honshu 3.600000]
<跳跃>
BW Sigma-13: 6F (2.4, 2.7) (66639, 60675) jumpgate 
BW Sigma-19: 4G (1.9, 1.8) (86914, -19660) jumpgate 
KU New Tokyo: 5B (1.5, 2.0) (-89387, 9074) jumpgate 
BW Sigma-13: 6F (2.7, 2.0) (53679, 66217) jumphole_light 
BW Sigma-19: 3G (2.7, 1.4) (79905, -41040) jumphole_light 
KU New Tokyo: 4C (1.1, 1.8) (-58482, -34273) jumphole_light 
KU Hokkaido: 3B (2.1, 1.7) (-95671, -51317) jumphole 
LI Ellesmere (LSF): 8E (1.2, 1.1) (1764, 112385) jumphole_light 
<基地>
Ku04_Sun: 4D (3.0, 3.0) (-31, -48) sun_2000 
Ku04_01: 3E (2.5, 2.9) (33497, -44636) planet_watbluislcld_4000 
Ku04_planet_Hikari: 5G (2.9, 1.3) (78000, 35000) planet_moonblu_1000 
Ku04_dock_ring_1: 3E (2.7, 2.9) (34967, -40557) dock_ring 
Ku04_docking_fixture_1: 3E (2.7, 2.9) (34970, -40508) docking_fixture 
Ku04_ithaca_station_1: 6D (1.4, 1.6) (-25871, 43596) ithaca_station 
Ku04_ithaca_station_2: 6D (1.4, 1.6) (-25871, 43926) ithaca_station 
Ku04_debris_med01: 6D (1.5, 1.5) (-26821, 44884) debris_med01 
Ku04_space_research_1: 6D (1.5, 1.6) (-25421, 44884) debris_large01 
Ku04_03: 4D (1.5, 1.0) (-35292, -26334) space_factory01 
Ku04_Ukawa_shipyard1: 4D (1.6, 1.0) (-35122, -25869) shipyard 
Ku04_Ukawa_shipyard2: 4D (1.6, 1.1) (-34938, -25360) shipyard 
Ku04_Ukawa_industrial1: 4D (1.6, 1.1) (-34937, -25360) space_industrial 
Ku04_depot_toxic_waste_1: 4D (1.6, 1.0) (-35360, -25784) depot_toxic_waste 
Ku04_depot_scrap_metal_1: 4D (1.6, 1.1) (-34886, -25956) depot_scrap_metal 
Ku04_04: 3C (1.8, 1.7) (-59273, -58418) space_police01 
Ku04_space_research_2: 3C (1.8, 1.7) (-59272, -58416) space_research 
Ku04_space_industrial01_1: 3C (1.8, 1.7) (-59806, -58415) space_industrial01 
Ku04_space_industrial01_2: 3C (1.7, 1.7) (-59272, -58960) space_industrial01 
Ku04_space_industrial01_3: 3C (1.8, 1.7) (-58726, -58414) space_industrial01 
Ku04_05: 4G (1.9, 1.7) (83829, -19239) smallstation1_old 
Ku04_06: 5F (2.7, 1.1) (38680, 30465) space_police01 
Ku04_06_industrial: 5F (2.7, 1.1) (38680, 30465) space_industrial 
EW37_02: 6E (2.9, 2.8) (32000, 71000) depot 
Ku04_suprise_bw_fighter_1: 3C (1.8, 2.6) (-43949, -57822) suprise_bw_fighter 
Ku04_suprise_co_fighter_1: 6F (2.9, 1.3) (40956, 69874) suprise_co_fighter 
KU17_01: 3G (1.6, 1.5) (80242, -60318) largestation1 

[ku05 KU Hokkaido 2.000000]
<跳跃>
KU New Tokyo: 6E (1.6, 1.2) (1800, 25600) jumpgate 
KU Rishiri: 3D (2.2, 2.8) (-2000, -28000) jumpgate 
KU Kyushu: 6C (1.8, 2.4) (-26000, 28000) jumphole_light 
KU Honshu: 7F (2.2, 2.0) (30000, 51700) jumphole_light 
KU Chugoku: 3E (2.4, 2.9) (19440, -26437) jumphole_light 
KU Rishiri: 4D (1.2, 1.1) (-19300, -18300) jumphole 
<基地>
Ku05_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
Ku05_01: 3D (2.5, 2.5) (-4603, -24841) k_battleship 
Ku05_02: 5C (2.8, 2.3) (-27182, 18326) depot 
Ku05_03: 3D (2.4, 3.0) (-500, -26000) space_police01 
Ku05_04: 6E (1.3, 1.1) (720, 23352) space_police01 
Ku05_space_tankl4x4_1: 6E (1.3, 1.1) (513, 23352) space_tankl4x4 
Ku05_space_tankl4x4_2: 6E (1.3, 1.0) (244, 23352) space_tankl4x4 
Ku05_space_tankl4x4_3: 6E (1.3, 1.1) (857, 23352) space_tankl2x2 
Ku05_gas_miner_old_1: 5E (2.4, 2.8) (17960, 13713) gas_miner_old_nodock 
Ku05_gas_miner_old_2: 5E (2.5, 2.7) (16992, 14823) gas_miner_old_nodock 
Ku05_gas_miner_old_3: 5E (2.6, 2.6) (15927, 16007) gas_miner_old_nodock 
Ku05_gas_miner_old_1_loot: 6F (1.9, 2.0) (29960, 28713) gas_miner_old_nodock 
Ku05_gas_miner_old_3_loot: 6F (1.6, 2.2) (31927, 26007) gas_miner_old_nodock 
Ku05_suprise_ku_elite_1: 3C (2.5, 2.4) (-26057, -24647) suprise_ku_elite 
Ku05_suprise_ku_elite_3: 3C (2.7, 2.3) (-27437, -22548) suprise_ku_elite 
Ku05_suprise_ku_elite_2: 3C (2.7, 2.4) (-25946, -23492) suprise_ku_elite 
Ku05_suprise_transport_large_1: 4F (1.8, 1.8) (27758, -12278) suprise_transport_large 

[ku06 KU Chugoku 2.000000]
<跳跃>
KU Nagano: 3D (2.1, 2.9) (-1000, -29000) jumphole_light 
KU Hokkaido: 5C (1.3, 2.2) (-27500, 2750) jumphole_light 
KU Tohoku: 4F (2.1, 2.4) (33910, -8636) jumphole_light 
KU Hiroshima (KU Navy): 6E (1.8, 2.2) (11733, 27979) jumphole_light 
<基地>
Ku06_wplatform_rock2_5: 3D (2.1, 3.0) (-300, -28600) wplatform_rock2 
Ku06_wplatform_rock2_6: 3D (2.2, 2.9) (-1500, -28300) wplatform_rock2 
Ku06_wplatform_rock2_1: 5C (1.2, 2.3) (-27000, 2050) wplatform_rock2 
Ku06_wplatform_rock2_2: 5C (1.3, 2.3) (-26884, 3400) wplatform_rock2 
Ku06_wplatform_rock2_3: 5E (2.9, 2.0) (9797, 19073) wplatform_rock2 
Ku06_wplatform_rock2_4: 5E (2.8, 2.1) (10702, 18308) wplatform_rock2 
Ku06_01: 5E (1.0, 1.0) (0, 0) co_base_rock_large01 
Ku06_space_industrial02_01: 4E (2.9, 1.0) (393, -567) space_industrial02 
EW37_01: 3B (1.3, 2.8) (-41533, -36732) co_base_ice_large02 
Ku06_shipyard_2x_03: 3B (1.3, 2.8) (-41996, -37019) shipyard_2x 
Ku06_shipyard_2x_04: 3B (1.3, 2.9) (-41004, -36661) shipyard_2x 
Ku06_com_sat_01: 3B (1.3, 2.9) (-41492, -36836) com_sat 
Ku06_space_dome_01: 3B (1.3, 2.9) (-41158, -36836) space_dome 
Ku06_space_dome_02: 3B (1.3, 2.8) (-41858, -36836) space_dome 
Ku06_space_research_01: 3B (1.3, 2.8) (-41502, -36836) space_research 
Ku06_space_habitat_tall_01: 3B (1.3, 2.8) (-41502, -36834) space_habitat_tall 
Ku06_space_industrial_01: 3B (1.3, 2.8) (-41998, -36837) space_industrial 
Ku06_space_industrial_02: 3B (1.3, 2.9) (-41010, -36837) space_industrial 
Ku06_ast_icecrystal_largeA_1: 3B (1.0, 3.0) (-40222, -39526) ast_icecrystal_largeA 
Ku06_ast_icecrystal_largeA_2: 2B (2.9, 2.7) (-42610, -41067) ast_icecrystal_largeA 
Ku06_ast_icecrystal_largeB_1: 3C (1.2, 1.0) (-39637, -38190) ast_icecrystal_largeB 
Ku06_ast_icecrystal_largeB_2: 3C (1.2, 1.2) (-38192, -37633) ast_icecrystal_largeB 
Ku06_ast_icecrystal_largeA_7: 3B (1.4, 3.0) (-40378, -35507) ast_icecrystal_largeA 
Ku06_ast_icecrystal_largeA_8: 3B (1.1, 2.6) (-43560, -39405) ast_icecrystal_largeA 
Ku06_ast_icecrystal_largeA_9: 3B (1.3, 2.7) (-43266, -36852) ast_icecrystal_largeA 
Ku06_ast_icecrystal_largeA_10: 3B (1.5, 2.8) (-41804, -34958) ast_icecrystal_largeA 
Ku06_ast_icecrystal_largeB_5: 3C (1.4, 1.1) (-39017, -36393) ast_icecrystal_largeB 

[ku07 KU Tohoku 1.700000]
<跳跃>
ST Omicron-100 (The Order): 5F (2.2, 2.6) (30462, 10010) jumphole 
KU Hiroshima (KU Navy): 6D (2.6, 1.9) (-9000, 31000) jumphole 
KU Chugoku: 4A (1.9, 2.8) (-53000, -9000) jumphole 
KU Okinawa: 5A (3.0, 2.1) (-59029, 16706) jumphole 
ST Omicron-92: 3F (1.8, 2.5) (29664, -27455) jumphole 
<基地>
Ku07_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
Ku07_01: 5A (1.9, 2.8) (-52535, 7387) miningbase_FragB 
Ku07_wplatform_planet_frag_1: 5A (1.9, 2.9) (-51772, 7248) wplatform_planet_frag 
Ku07_wplatform_planet_frag_2: 5A (1.8, 2.7) (-53348, 7069) wplatform_planet_frag 
Ku07_wplatform_planet_frag_3: 5A (2.0, 2.8) (-52580, 8234) wplatform_planet_frag 
Ku07_02_Arch: 6B (1.4, 2.5) (-37988, 20578) space_arch 
Ku07_02_Roid: 6B (1.4, 2.5) (-37988, 20578) space_arch_asteroid 
KU16_02: 6D (2.5, 1.7) (-11000, 30000) k_battleship 
Ku07_space_arch_chunk1a_1: 5B (2.4, 2.7) (-36645, 11560) space_arch_chunk1a 
Ku07_space_arch_chunk1b_1: 5C (1.8, 1.4) (-30552, 6758) space_arch_chunk1b 
Ku07_space_arch_chunk2a_1: 6B (1.7, 1.8) (-44163, 22818) space_arch_chunk2a 
Ku07_space_arch_chunk2b_1: 5C (2.9, 1.1) (-33067, 15756) space_arch_chunk2b 
Ku07_space_arch_chunk3a_1: 5B (2.8, 2.4) (-39265, 15147) space_arch_chunk3a 
Ku07_space_arch_chunk3b_1: 6B (2.0, 2.3) (-40084, 25233) space_arch_chunk3b 
Ku07_space_arch_chunk3c_1: 5B (2.1, 1.6) (-45852, 9329) space_arch_chunk3c 
Ku07_space_arch_chunk3d_1: 6B (1.0, 2.7) (-36382, 17292) space_arch_chunk3d 
Ku07_space_arch_chunk3e_1: 6B (1.2, 1.8) (-44401, 18303) space_arch_chunk3e 

[ku08 KU Nagano 2.000000]
<跳跃>
KU Rishiri: 6E (1.3, 1.1) (1000, 23000) jumpgate 
KU Rishiri: 7E (1.1, 2.2) (12000, 41000) jumphole 
EW Tau-37: 3F (2.5, 1.1) (21000, -25000) jumphole 
KU Chugoku: 6G (1.4, 1.7) (47000, 24000) jumphole 
<基地>
KU08_Sun1: 1C (1.8, 1.5) (-35000, -72000) sun_1000 
KU08_Sun2: 5E (1.0, 1.0) (0, 0) sun_2000 
KU08_Sun3: 1A (1.5, 2.0) (-70000, -75000) sun_1000 
KU08_planet_1: 7F (1.0, 2.8) (38000, 40000) planet_watblucld_3000 
KU08_planet_2: 5G (1.9, 1.4) (43658, 8991) planet_earthgaia_1500 
KU08_planet_3: 4E (2.4, 2.5) (15000, -6000) planet_rckdes_1000 
KU08_debris_med02_1: 4F (1.7, 2.7) (37000, -13000) debris_med02 
KU08_02_dock_ring: 5G (1.7, 1.5) (44555, 7488) dock_ring 
KU08_02_docking_fixture: 5G (1.7, 1.5) (44555, 7488) docking_fixture 
EW45_04: 6G (2.9, 1.1) (41500, 39000) dsy_togo_stationary 
GA06_02: 4G (1.0, 1.7) (46656, -19695) depot 
KU08_nav_buoy_06: 6E (1.1, 1.5) (4940, 20532) nav_buoy 
KU08_nav_buoy_07: 5E (2.8, 1.9) (8750, 18000) nav_buoy 
KU08_nav_buoy_08: 5E (2.5, 2.3) (12700, 15200) nav_buoy 
KU08_nav_buoy_09: 5E (2.2, 2.6) (16043, 11904) nav_buoy 
KU08_nav_buoy_10: 5E (1.9, 3.0) (19829, 9178) nav_buoy 
KU08_nav_buoy_11: 5F (1.6, 1.4) (24000, 6500) nav_buoy 
KU08_nav_buoy_12: 5F (1.4, 1.8) (28300, 4200) nav_buoy 
KU08_nav_buoy_13: 5F (1.3, 2.3) (33153, 2819) nav_buoy 
KU08_nav_buoy_14: 5F (1.2, 2.8) (38453, 1759) nav_buoy 
KU08_nav_buoy_15: 5G (1.1, 1.3) (43100, 1300) nav_buoy 
KU08_nav_buoy_18: 5G (1.3, 1.4) (43585, 3362) nav_buoy 
KU08_nav_buoy_19: 5G (1.5, 1.4) (44070, 5425) nav_buoy 

[ku09 KU Tottori (Hogosha) 1.800000]
<跳跃>
KU Kyushu: 6D (2.7, 2.6) (-4000, 33000) jumphole_light 
BW Tau-44: 2B (1.9, 2.0) (-45000, -46000) jumphole_light 
KU Rishiri: 2F (2.4, 1.8) (25000, -41000) jumphole 
<基地>
KU09_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
KU09_planet_1: 5D (1.5, 1.5) (-13822, 4775) planet_desorcld_800 
KU09_planet_2: 6E (2.8, 1.1) (1000, 34000) planet_ice_200 
KU09_planet_3: 3D (2.6, 2.3) (-6449, -21225) planet_ice_200 
KU09_planet_4: 7D (1.9, 2.5) (-4500, 44000) planet_gasblucld_5000 
KU09_planet_5: 3D (2.2, 2.5) (-4752, -25056) planet_gasgrncld_3000 
KU09_planet_6: 6F (1.8, 1.6) (23014, 25380) planet_earthsnwcld_2500 
KU09_space_industrial_01: 3G (2.2, 1.3) (38778, -25438) space_industrial 
KU09_space_habitat_tall_01: 3G (2.2, 1.3) (38777, -25438) space_habitat_tall 
KU09_space_solar_pnl_01: 3G (2.2, 1.3) (38778, -25502) space_solar_pnl 
KU09_space_solar_pnl_02: 3G (2.2, 1.3) (38779, -25373) space_solar_pnl 
KU09_space_habitat_wide_02: 3G (2.2, 1.3) (38579, -25439) space_habitat_wide 
KU09_02: 5B (1.9, 1.7) (-47570, 8114) space_police01 
